node1,node2,count
AER,ASF,60
AER,GOJ,60
AER,KRR,60
AER,KZN,60
AER,MCX,60
AER,MRV,60
AER,NBC,60
AER,ROV,60
AER,UUA,60
ASF,AER,6
ASF,KZN,6
ASF,LED,6
CEK,KZN,23
CEK,OVB,23
DME,MCX,312
DME,NBC,312
DME,TGK,312
DME,UUA,312
GDZ,KZN,8
GOJ,AER,16
GYD,AER,67
GYD,NBC,67
KBP,KZN,106
KRR,AER,35
KRR,KZN,35
KUF,MRV,36
KZN,AER,38
KZN,ASF,38
KZN,CEK,38
KZN,GDZ,38
KZN,KBP,38
KZN,KRR,38
KZN,LED,38
KZN,MRV,38
KZN,MUC,38
KZN,PEE,38
KZN,SIP,38
LED,ASF,269
LED,KZN,269
LED,MCX,269
LED,NBC,269
LED,UUA,269
MCX,AER,6
MCX,DME,6
MCX,LED,6
MCX,MRV,6
MRV,AER,26
MRV,KUF,26
MRV,KZN,26
MRV,MCX,26
MUC,KZN,356
NBC,AER,7
NBC,DME,7
NBC,GYD,7
NBC,LED,7
NBC,SIP,7
NJC,UUA,9
OVB,CEK,83
PEE,KZN,16
ROV,AER,32
SGC,UUA,11
SIP,KZN,29
SIP,NBC,29
TGK,DME,1
UUA,AER,5
UUA,DME,5
UUA,LED,5
UUA,NJC,5
UUA,SGC,5
ANS,LIM,2
AYP,LIM,2
CUZ,LIM,13
CUZ,PEM,13
HUU,LIM,2
IQT,PCL,7
IQT,TPP,7
LIM,ANS,119
LIM,AYP,119
LIM,CUZ,119
LIM,HUU,119
LIM,PCL,119
LIM,TPP,119
PCL,IQT,6
PCL,LIM,6
PCL,TPP,6
PEM,CUZ,4
TPP,IQT,6
TPP,LIM,6
TPP,PCL,6
ABJ,BOY,53
ABJ,OUA,53
ACC,OUA,54
BKO,OUA,21
BOY,ABJ,2
BOY,OUA,2
COO,LFW,39
COO,OUA,39
DKR,OUA,63
LFW,COO,23
LFW,OUA,23
NIM,OUA,17
OUA,ABJ,34
OUA,ACC,34
OUA,BKO,34
OUA,BOY,34
OUA,COO,34
OUA,DKR,34
OUA,LFW,34
OUA,NIM,34
CUE,UIO,3
GPS,GYE,4
GPS,UIO,4
GYE,GPS,29
GYE,SCY,29
GYE,UIO,29
MEC,UIO,2
OCC,UIO,3
SCY,GYE,3
SCY,UIO,3
UIO,CUE,35
UIO,GPS,35
UIO,GYE,35
UIO,MEC,35
UIO,OCC,35
UIO,SCY,35
AYT,GVA,112
BDS,BRN,30
BDS,ZRH,30
BRI,ZRH,60
BRN,BDS,33
BRN,CTA,33
BRN,HDF,33
BRN,HER,33
BRN,PMI,33
BRN,RHO,33
BRS,ZRH,130
CLY,ZRH,24
CTA,BRN,102
FUE,GVA,80
GVA,ACE,177
GVA,AYT,177
GVA,HER,177
GVA,KGS,177
GVA,LCA,177
GVA,LPA,177
HDF,BRN,9
HDF,ZRH,9
HER,BRN,137
HER,GVA,137
INV,ZRH,15
KGS,BRN,77
LCA,GVA,98
PMI,BRN,306
RHO,GVA,120
RLG,ZRH,5
SUF,ZRH,37
TFS,GVA,128
ZRH,BDS,268
ZRH,BRI,268
ZRH,BRS,268
ZRH,CLY,268
ZRH,HDF,268
ZRH,INV,268
ZRH,RLG,268
ZRH,SUF,268
AJR,LYC,2
ARN,GEV,202
ARN,HAD,202
ARN,LYC,202
ARN,VBY,202
ARN,VHM,202
GEV,ARN,1
HAD,ARN,3
HMV,VHM,2
LYC,AJR,4
LYC,ARN,4
VBY,ARN,21
VBY,VHM,21
VHM,ARN,5
VHM,HMV,5
VHM,VBY,5
ADQ,AOS,12
ADQ,KKB,12
ADQ,KLN,12
ADQ,KOZ,12
ADQ,KPY,12
ADQ,OLH,12
AOS,KZB,1
KLN,KYK,1
KOZ,ORI,2
KPY,UGI,1
UGI,KWP,1
BCD,CEB,8
BCD,MNL,8
BSO,MNL,2
BXU,CEB,6
BXU,MNL,6
CBO,MNL,3
CEB,BCD,70
CEB,BXU,70
CEB,CGY,70
CEB,DVO,70
CEB,HKG,70
CEB,ILO,70
CEB,MNL,70
CEB,MPH,70
CEB,OZC,70
CEB,PPS,70
CEB,TAC,70
CEB,USU,70
CEB,ZAM,70
CGY,CEB,12
CGY,DVO,12
CGY,MNL,12
CRM,MNL,2
CYP,MNL,2
DGT,MNL,4
DPL,MNL,5
DVO,CEB,20
DVO,CGY,20
DVO,MNL,20
DVO,ZAM,20
GES,ILO,7
GES,MNL,7
HKG,CEB,352
ILO,CEB,18
ILO,GES,18
ILO,MNL,18
ILO,PPS,18
JOL,ZAM,2
KLO,MNL,10
KUL,MNL,249
LAO,MNL,4
LGP,MNL,4
MBT,MNL,3
MNL,BCD,186
MNL,BSO,186
MNL,BXU,186
MNL,CBO,186
MNL,CEB,186
MNL,CGY,186
MNL,CRM,186
MNL,CYP,186
MNL,DGT,186
MNL,DPL,186
MNL,DVO,186
MNL,GES,186
MNL,ILO,186
MNL,KLO,186
MNL,KUL,186
MNL,LAO,186
MNL,LGP,186
MNL,MBT,186
MNL,MPH,186
MNL,OZC,186
MNL,PPS,186
MNL,RXS,186
MNL,SIN,186
MNL,SUG,186
MNL,TAC,186
MNL,TAG,186
MNL,TUG,186
MNL,USU,186
MNL,WNP,186
MNL,ZAM,186
MPH,CEB,6
MPH,MNL,6
OZC,CEB,6
OZC,MNL,6
PPS,CEB,13
PPS,ILO,13
PPS,MNL,13
PPS,USU,13
RXS,MNL,3
SIN,MNL,391
SUG,MNL,3
TAC,CEB,8
TAC,MNL,8
TAG,MNL,3
TUG,MNL,3
TWT,ZAM,2
USU,CEB,8
USU,MNL,8
USU,PPS,8
WNP,MNL,3
ZAM,CEB,15
ZAM,DVO,15
ZAM,JOL,15
ZAM,MNL,15
ZAM,TWT,15
HEL,POR,177
POR,HEL,2
CGA,HYL,3
CGA,KTN,3
HYL,CGA,3
HYL,KTB,3
HYL,KTN,3
KTB,HYL,3
KTB,KTN,3
KTN,CGA,18
KTN,HYL,18
KTN,KTB,18
KTN,MTM,18
MTM,KTN,2
ACC,BJL,54
ACC,ROB,54
BCN,BJL,422
BJL,ACC,26
BJL,BCN,26
BJL,DKR,26
BJL,FNA,26
BJL,LGW,26
DKR,BJL,63
DKR,FNA,63
FNA,BJL,23
FNA,DKR,23
FNA,LGW,23
FNA,ROB,23
LGW,BJL,346
LGW,FNA,346
ROB,ACC,14
ROB,FNA,14
AKV,YIK,2
AKV,YPX,2
XGR,YVP,1
YGL,YGW,3
YGL,YPX,3
YGL,YUL,3
YGW,YGL,5
YGW,YSK,5
YGW,YUD,5
YGW,YUL,5
YGW,YUY,5
YIK,AKV,2
YIK,YZG,2
YKG,YPJ,3
YKG,YQC,3
YKG,YVP,3
YKL,YQB,5
YKL,YVP,5
YKL,YWK,5
YKL,YZV,5
YPH,YPX,3
YPH,YUD,3
YPH,YVP,3
YPJ,YKG,3
YPJ,YTQ,3
YPJ,YVP,3
YPX,AKV,4
YPX,YGL,4
YPX,YPH,4
YPX,YVP,4
YQB,YKL,30
YQB,YUL,30
YQC,YKG,2
YQC,YWB,2
YSK,YGW,2
YSK,YUD,2
YTQ,YPJ,2
YTQ,YVP,2
YUD,YGW,3
YUD,YPH,3
YUD,YSK,3
YUL,YGL,158
YUL,YGW,158
YUL,YQB,158
YUL,YUY,158
YUY,YGW,5
YUY,YUL,5
YVP,XGR,8
YVP,YKG,8
YVP,YKL,8
YVP,YPH,8
YVP,YPX,8
YVP,YTQ,8
YWB,YQC,2
YWB,YZG,2
YWK,YKL,20
YWK,YZV,20
YZG,YIK,2
YZG,YWB,2
YZV,YKL,21
YZV,YWK,21
BBO,JIB,5
BBO,MGQ,5
DXB,BBO,352
JED,BBO,152
JIB,DXB,21
JIB,JED,21
JIB,MGQ,21
MGQ,BBO,8
MGQ,JIB,8
MGQ,NBO,8
NBO,MGQ,119
BKK,SIN,295
CAN,SIN,281
HAK,SIN,92
HGH,SIN,222
HKG,SIN,352
HKT,SIN,64
KIX,MNL,146
KIX,TPE,146
KUL,SIN,249
MNL,KIX,186
PEN,SIN,45
PER,SIN,79
PNH,SIN,28
REP,PNH,39
RGN,SIN,41
SGN,SIN,102
SIN,BKK,391
SIN,CAN,391
SIN,HAK,391
SIN,HGH,391
SIN,HKG,391
SIN,HKT,391
SIN,KUL,391
SIN,PEN,391
SIN,PER,391
SIN,PNH,391
SIN,REP,391
SIN,RGN,391
SIN,SGN,391
SIN,SWA,391
SIN,TPE,391
SWA,SIN,34
TPE,KIX,256
TPE,SIN,256
ACH,EBA,2
DUS,FDH,295
EBA,ACH,6
EBA,FDH,6
EBA,GVA,6
EBA,MUC,6
EBA,ZRH,6
FDH,DUS,12
FDH,EBA,12
FDH,HAM,12
FDH,OLB,12
FDH,PUY,12
FDH,TXL,12
FDH,ZAD,12
FKB,HAM,26
GRZ,ZRH,26
GVA,EBA,177
HAM,FDH,153
HAM,FKB,153
MAH,FDH,84
MUC,EBA,356
OLB,FDH,85
PUY,FDH,33
SZG,ZRH,41
TXL,FDH,214
ZAD,FDH,34
ZRH,EBA,268
ZRH,GRZ,268
ZRH,SZG,268
ATL,LWB,395
ATL,MCN,395
ATL,MEI,395
ATL,MSL,395
ATL,PIB,395
ATL,TUP,395
BIM,FLL,2
ELH,FLL,6
EYW,FLL,15
EYW,RSW,15
EYW,TPA,15
FLL,BIM,188
FLL,ELH,188
FLL,EYW,188
FLL,FPO,188
FLL,GGT,188
FLL,GHB,188
FLL,MCO,188
